exp_id,Extractant_Name,Extractant_Concentration_M,Acid_Name,Acid_Concentration_M,Solvent_Name,Metal_Name,Metal_Oxidation_state,Metal_Concentration_mM,Phase_Modifier_Name,Phase_Modifier_Concentration_M,Holdback_Agent_Name,Holdback_Agent_Concentration_M,Extractant_SMILES,Extractant_inchi,ini_comp,Acid_Concentration_Organic_M,f_Solvent_Name,f_Metal_Concentration_mM,DOI,entry_author,addition_date,obsDvalues,obsDvaluesValue,obsTotalEnergiesUnit,obsTemp,obsTempsValue,obsTempUnit,Contact_Time_min,Shaking_Time_min,Radiolytic_Dosage_kGy,comments_obsType,comments_description,volType,volValue,thirdType,thirdValue
2716,TODGA,0.00558179 M,HNO3,2.9 M,n-Dodecane,Tm, ,0.59 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Tm, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:46,Distribution Ratio,70.8434,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2717,TODGA,0.00341613 M,HNO3,2.9 M,n-Dodecane,Tm, ,0.59 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Tm, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:46,Distribution Ratio,6.9873,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2718,TODGA,0.00213679 M,HNO3,2.9 M,n-Dodecane,Tm, ,0.59 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Tm, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:46,Distribution Ratio,0.6704,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
2719,TODGA,0.0010123 M,HNO3,2.9 M,n-Dodecane,Tm, ,0.59 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Tm, n-Dodecane",,n-Dodecane,,doi:10.1016/j.aca.2004.09.023,Aurora Clark,2024-12-16 21:51:46,Distribution Ratio,0.0213,-,Temperature,25.0,C,- -,50.0 min,,Comments,fig2 (III) – assuming 100ppm 0.0 extraction:nan,,,,
4309,TODGA,0.2 M,HNO3,0.0478 M,DIPB,Tm,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Tm, DIPB",,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:54:05,Distribution Ratio,0.1633,-,Temperature,20.0,C,- -,30.0 min,,Comments,figS4-B nan nan extraction:nan,,,,
4310,TODGA,0.2 M,HNO3,0.1212 M,DIPB,Tm,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Tm, DIPB",,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:54:05,Distribution Ratio,0.5738,-,Temperature,20.0,C,- -,30.0 min,,Comments,figS4-B nan nan extraction:nan,,,,
4311,TODGA,0.2 M,HNO3,0.3044 M,DIPB,Tm,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Tm, DIPB",,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:54:05,Distribution Ratio,6.6226,-,Temperature,20.0,C,- -,30.0 min,,Comments,figS4-B nan nan extraction:nan,,,,
4312,TODGA,0.2 M,HNO3,0.4851 M,DIPB,Tm,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Tm, DIPB",,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:54:06,Distribution Ratio,35.0877,-,Temperature,20.0,C,- -,30.0 min,,Comments,figS4-B nan nan extraction:nan,,,,
4313,TODGA,0.2 M,HNO3,0.6708 M,DIPB,Tm,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Tm, DIPB",,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:54:06,Distribution Ratio,183.3896,-,Temperature,20.0,C,- -,30.0 min,,Comments,figS4-B nan nan extraction:nan,,,,
4314,TODGA,0.2 M,HNO3,0.7709 M,DIPB,Tm,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Tm, DIPB",,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:54:06,Distribution Ratio,383.4268,-,Temperature,20.0,C,- -,30.0 min,,Comments,figS4-B nan nan extraction:nan,,,,
4315,TODGA,0.2 M,HNO3,0.9445 M,DIPB,Tm,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, TODGA, Tm, DIPB",,DIPB,,https://doi.org/10.1016/j.hydromet.2020.105248,Aurora Clark,2024-12-16 21:54:06,Distribution Ratio,1163.5691,-,Temperature,20.0,C,- -,30.0 min,,Comments,figS4-B nan nan extraction:nan,,,,
8717,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,La,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, La, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,0.321764175025074,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8718,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Ce,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Ce, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,0.622257083673024,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8719,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Pr,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Pr, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,0.757525025877192,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8720,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Nd,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Nd, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,0.775259748862946,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8721,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Sm,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Sm, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,0.83099419493534,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8722,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Eu,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Eu, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,0.83099419493534,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8723,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Gd,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Gd, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,0.757525025877192,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8724,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Tb,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Tb, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,1.04737089795945,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8725,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Dy,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Dy, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,1.245883364295,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8726,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Ho,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Ho, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,1.3049019780144,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8727,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Er,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Er, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,1.26038292967972,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8728,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Tm,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Tm, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,1.05956017927761,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8729,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Yb,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Yb, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,0.860346441668449,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8730,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Lu,III ,0.01 mM,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Lu, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:21,Distribution Ratio,0.659318827133355,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: nan; Metal_Concentration_mM: 0.01; No. of Metals: 1",Volume Ratio,1.0,,
8731,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Am,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Am, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:22,Distribution Ratio,0.977124153534652,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: Am(III); Cm(III); Eu(III); Metal_Concentration_mM: Trace; Trace; Trace; No. of Metals: 3",Volume Ratio,1.0,,
8732,tMe2-TODGA,0.1 M,HNO3,4.3 M,hydrogenated tetrapropene,Cm,III , ,,,,,CCCCCCCCN(CCCCCCCC)C(=O)[C@@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-,"HNO3, tMe2-TODGA, Cm, hydrogenated tetrapropene",,hydrogenated tetrapropene,,"https://doi.org/10.1002/chem.201806161, https://doi.org/10.1021/jacs.5c19738",Thomas Summers,2026-01-20 20:37:22,Distribution Ratio,0.714942898659757,-,Temperature,22.0,C,15.0 min,,,Comments,"Data Location: Figure 2; Additional Comments: nan; Complexant_Name: nan; Complexant_SMILES: nan; Complexant_Concentration_M: nan; Publication_Year: 2019; Title: Unprecedented Inversion of Selectivity and Extraordinary Difference in the Complexation of Trivalent f Elements by Diastereomers of a Methylated Diglycolamide; Authors: Dr. Andreas Wilden, Dr. Piotr M. Kowalski, Larissa Klaß, Benjamin Kraus, Fabian Kreft, Prof. Dr. Giuseppe Modolo, Dr. Yan Li, Dr. Jörg Rothe, Dr. Kathy Dardenne, Dr. Andreas Geist, Dr. Andrea Leoncini, Prof. Jurriaan Huskens, Dr. Willem Verboom ; No. of Extractants: 1; Aqueous Phase Metals: Am(III); Cm(III); Eu(III); Metal_Concentration_mM: Trace; Trace; Trace; No. of Metals: 3",Volume Ratio,1.0,,
